Passenger2001 PassengerID=1, TicketWaitingTime=0, TicketingFinishTime=2, WaitingTrainTime=3, TrainStartTime=5, TrainArriveTime=21
Passenger2002 PassengerID=2, TicketWaitingTime=0, TicketingFinishTime=1, WaitingTrainTime=4, TrainStartTime=5, TrainArriveTime=33
Passenger2003 PassengerID=3, TicketWaitingTime=0, TicketingFinishTime=3, WaitingTrainTime=2, TrainStartTime=5, TrainArriveTime=40
Passenger2004 PassengerID=4, TicketWaitingTime=2, TicketingFinishTime=7, WaitingTrainTime=3, TrainStartTime=10, TrainArriveTime=42
Passenger2005 PassengerID=5, TicketWaitingTime=3, TicketingFinishTime=4, WaitingTrainTime=1, TrainStartTime=5, TrainArriveTime=50
Passenger2006 PassengerID=6, TicketWaitingTime=3, TicketingFinishTime=14, WaitingTrainTime=1, TrainStartTime=15, TrainArriveTime=50
Passenger2007 PassengerID=7, TicketWaitingTime=4, TicketingFinishTime=6, WaitingTrainTime=4, TrainStartTime=10, TrainArriveTime=54
Passenger2008 PassengerID=8, TicketWaitingTime=6, TicketingFinishTime=9, WaitingTrainTime=1, TrainStartTime=10, TrainArriveTime=59
Passenger2009 PassengerID=9, TicketWaitingTime=5, TicketingFinishTime=9, WaitingTrainTime=1, TrainStartTime=10, TrainArriveTime=39
Passenger2010 PassengerID=10, TicketWaitingTime=7, TicketingFinishTime=13, WaitingTrainTime=2, TrainStartTime=15, TrainArriveTime=40
Passenger2011 PassengerID=11, TicketWaitingTime=5, TicketingFinishTime=16, WaitingTrainTime=4, TrainStartTime=20, TrainArriveTime=69
Passenger2012 PassengerID=12, TicketWaitingTime=9, TicketingFinishTime=16, WaitingTrainTime=4, TrainStartTime=20, TrainArriveTime=62
Passenger2013 PassengerID=13, TicketWaitingTime=8, TicketingFinishTime=18, WaitingTrainTime=2, TrainStartTime=20, TrainArriveTime=65
Passenger2014 PassengerID=14, TicketWaitingTime=10, TicketingFinishTime=18, WaitingTrainTime=2, TrainStartTime=20, TrainArriveTime=55
Passenger2015 PassengerID=15, TicketWaitingTime=10, TicketingFinishTime=18, WaitingTrainTime=2, TrainStartTime=20, TrainArriveTime=42
Passenger2016 PassengerID=16, TicketWaitingTime=12, TicketingFinishTime=21, WaitingTrainTime=4, TrainStartTime=25, TrainArriveTime=40
Passenger2017 PassengerID=17, TicketWaitingTime=12, TicketingFinishTime=27, WaitingTrainTime=3, TrainStartTime=30, TrainArriveTime=74
Passenger2018 PassengerID=18, TicketWaitingTime=9, TicketingFinishTime=20, WaitingTrainTime=0, TrainStartTime=20, TrainArriveTime=45
Passenger2019 PassengerID=19, TicketWaitingTime=11, TicketingFinishTime=22, WaitingTrainTime=3, TrainStartTime=25, TrainArriveTime=54
Passenger2020 PassengerID=20, TicketWaitingTime=12, TicketingFinishTime=27, WaitingTrainTime=3, TrainStartTime=30, TrainArriveTime=73
Passenger2021 PassengerID=21, TicketWaitingTime=10, TicketingFinishTime=24, WaitingTrainTime=1, TrainStartTime=25, TrainArriveTime=54
Passenger2022 PassengerID=22, TicketWaitingTime=10, TicketingFinishTime=28, WaitingTrainTime=2, TrainStartTime=30, TrainArriveTime=52
Passenger2023 PassengerID=23, TicketWaitingTime=13, TicketingFinishTime=29, WaitingTrainTime=1, TrainStartTime=30, TrainArriveTime=73
Passenger2024 PassengerID=24, TicketWaitingTime=13, TicketingFinishTime=30, WaitingTrainTime=0, TrainStartTime=30, TrainArriveTime=53
Passenger2025 PassengerID=25, TicketWaitingTime=10, TicketingFinishTime=32, WaitingTrainTime=3, TrainStartTime=35, TrainArriveTime=66
Passenger2026 PassengerID=26, TicketWaitingTime=11, TicketingFinishTime=33, WaitingTrainTime=2, TrainStartTime=35, TrainArriveTime=78
Passenger2027 PassengerID=27, TicketWaitingTime=12, TicketingFinishTime=32, WaitingTrainTime=3, TrainStartTime=35, TrainArriveTime=70
Passenger2028 PassengerID=28, TicketWaitingTime=14, TicketingFinishTime=34, WaitingTrainTime=1, TrainStartTime=35, TrainArriveTime=80
Passenger2029 PassengerID=29, TicketWaitingTime=14, TicketingFinishTime=40, WaitingTrainTime=0, TrainStartTime=40, TrainArriveTime=56
Passenger2030 PassengerID=30, TicketWaitingTime=14, TicketingFinishTime=36, WaitingTrainTime=4, TrainStartTime=40, TrainArriveTime=55
Passenger2031 PassengerID=31, TicketWaitingTime=13, TicketingFinishTime=38, WaitingTrainTime=2, TrainStartTime=40, TrainArriveTime=83
Passenger2032 PassengerID=32, TicketWaitingTime=15, TicketingFinishTime=39, WaitingTrainTime=1, TrainStartTime=40, TrainArriveTime=56
Passenger2033 PassengerID=33, TicketWaitingTime=14, TicketingFinishTime=40, WaitingTrainTime=0, TrainStartTime=40, TrainArriveTime=75
Passenger2034 PassengerID=34, TicketWaitingTime=15, TicketingFinishTime=41, WaitingTrainTime=4, TrainStartTime=45, TrainArriveTime=77
Passenger2035 PassengerID=35, TicketWaitingTime=16, TicketingFinishTime=43, WaitingTrainTime=2, TrainStartTime=45, TrainArriveTime=86
Passenger2036 PassengerID=36, TicketWaitingTime=16, TicketingFinishTime=43, WaitingTrainTime=2, TrainStartTime=45, TrainArriveTime=81
Passenger2037 PassengerID=37, TicketWaitingTime=17, TicketingFinishTime=45, WaitingTrainTime=0, TrainStartTime=45, TrainArriveTime=80
Passenger2038 PassengerID=38, TicketWaitingTime=16, TicketingFinishTime=45, WaitingTrainTime=0, TrainStartTime=45, TrainArriveTime=90
Passenger2039 PassengerID=39, TicketWaitingTime=15, TicketingFinishTime=48, WaitingTrainTime=2, TrainStartTime=50, TrainArriveTime=73
Passenger2040 PassengerID=40, TicketWaitingTime=16, TicketingFinishTime=47, WaitingTrainTime=3, TrainStartTime=50, TrainArriveTime=70
Passenger2041 PassengerID=41, TicketWaitingTime=11, TicketingFinishTime=48, WaitingTrainTime=2, TrainStartTime=50, TrainArriveTime=66
Passenger2042 PassengerID=42, TicketWaitingTime=13, TicketingFinishTime=57, WaitingTrainTime=3, TrainStartTime=60, TrainArriveTime=92
Passenger2043 PassengerID=43, TicketWaitingTime=14, TicketingFinishTime=51, WaitingTrainTime=4, TrainStartTime=55, TrainArriveTime=67
Passenger2044 PassengerID=44, TicketWaitingTime=14, TicketingFinishTime=51, WaitingTrainTime=4, TrainStartTime=55, TrainArriveTime=77
Passenger2045 PassengerID=45, TicketWaitingTime=17, TicketingFinishTime=55, WaitingTrainTime=0, TrainStartTime=55, TrainArriveTime=97
Passenger2046 PassengerID=46, TicketWaitingTime=15, TicketingFinishTime=54, WaitingTrainTime=1, TrainStartTime=55, TrainArriveTime=104
Passenger2047 PassengerID=47, TicketWaitingTime=15, TicketingFinishTime=56, WaitingTrainTime=4, TrainStartTime=60, TrainArriveTime=83
Passenger2048 PassengerID=48, TicketWaitingTime=15, TicketingFinishTime=59, WaitingTrainTime=1, TrainStartTime=60, TrainArriveTime=102
Passenger2049 PassengerID=49, TicketWaitingTime=15, TicketingFinishTime=58, WaitingTrainTime=2, TrainStartTime=60, TrainArriveTime=91
Passenger2050 PassengerID=50, TicketWaitingTime=16, TicketingFinishTime=63, WaitingTrainTime=2, TrainStartTime=65, TrainArriveTime=106
